Time,Mass,Temp1,HRR,Thickness,Temp2
 2.1240396E+002, 1.1848688E+001, 4.7874336E+002, 1.7827600E+002, 4.9496382E-002, 4.4189432E+002
 2.1361553E+002, 1.1841419E+001, 4.8314271E+002, 1.8248421E+002, 4.9495102E-002, 4.4308471E+002
 2.1482867E+002, 1.1834124E+001, 4.8479449E+002, 1.8170574E+002, 4.9493906E-002, 4.4452865E+002
 2.1602239E+002, 1.1827003E+001, 4.9208361E+002, 1.8265441E+002, 4.9492821E-002, 4.4712761E+002
 2.1721410E+002, 1.1820091E+001, 4.8854280E+002, 1.8060918E+002, 4.9491849E-002, 4.4832895E+002
 2.1840478E+002, 1.1813229E+001, 4.8652345E+002, 1.8489447E+002, 4.9490981E-002, 4.4879660E+002
 2.1961245E+002, 1.1806352E+001, 4.8534983E+002, 1.8320428E+002, 4.9490212E-002, 4.4836042E+002
 2.2081934E+002, 1.1799674E+001, 4.8822400E+002, 1.8279206E+002, 4.9489548E-002, 4.4788355E+002
 2.2201252E+002, 1.1793043E+001, 4.8799323E+002, 1.8704164E+002, 4.9488990E-002, 4.4995974E+002
 2.2320500E+002, 1.1786433E+001, 4.8948905E+002, 1.8822117E+002, 4.9488533E-002, 4.5023402E+002
 2.2441669E+002, 1.1779910E+001, 4.8502792E+002, 1.8579334E+002, 4.9488163E-002, 4.5058177E+002
 2.2560562E+002, 1.1773478E+001, 4.8460213E+002, 1.8816169E+002, 4.9487876E-002, 4.4877127E+002
 2.2681801E+002, 1.1767102E+001, 4.8930071E+002, 1.8701943E+002, 4.9487660E-002, 4.5024409E+002
 2.2801107E+002, 1.1760747E+001, 4.9245502E+002, 1.8767331E+002, 4.9487502E-002, 4.5255284E+002
 2.2922359E+002, 1.1754355E+001, 4.9421252E+002, 1.9031428E+002, 4.9487390E-002, 4.5530075E+002
 2.3042684E+002, 1.1747914E+001, 5.0198426E+002, 1.9181886E+002, 4.9487313E-002, 4.5787781E+002
 2.3160895E+002, 1.1741595E+001, 4.9382911E+002, 1.8878679E+002, 4.9487263E-002, 4.5839269E+002
 2.3282594E+002, 1.1735334E+001, 4.9696506E+002, 1.8879953E+002, 4.9487231E-002, 4.5790171E+002
 2.3400168E+002, 1.1729056E+001, 5.0145797E+002, 1.9019943E+002, 4.9487210E-002, 4.6077170E+002
 2.3522484E+002, 1.1722864E+001, 4.9147119E+002, 1.8542926E+002, 4.9487198E-002, 4.5929781E+002
 2.3640056E+002, 1.1716742E+001, 4.9022971E+002, 1.8778663E+002, 4.9487190E-002, 4.5645669E+002
 2.3760958E+002, 1.1710548E+001, 4.9683644E+002, 1.8919921E+002, 4.9487186E-002, 4.5929344E+002
 2.3880648E+002, 1.1704287E+001, 4.9263585E+002, 1.9120057E+002, 4.9487183E-002, 4.5794271E+002
 2.4000091E+002, 1.1697909E+001, 4.9587012E+002, 1.9502774E+002, 4.9487182E-002, 4.6032024E+002
 2.4120667E+002, 1.1691534E+001, 4.9303615E+002, 1.9084517E+002, 4.9487181E-002, 4.5907648E+002
 2.4240702E+002, 1.1685168E+001, 4.9506561E+002, 1.9490213E+002, 4.9487180E-002, 4.6019102E+002
 2.4360665E+002, 1.1678671E+001, 4.9804342E+002, 1.9948955E+002, 4.9487180E-002, 4.6104408E+002
 2.4480518E+002, 1.1672086E+001, 5.0053465E+002, 2.0200791E+002, 4.9487180E-002, 4.6287598E+002
 2.4601284E+002, 1.1665395E+001, 5.1124567E+002, 2.0378643E+002, 4.9487180E-002, 4.6682758E+002
 2.4721153E+002, 1.1658653E+001, 5.1505520E+002, 2.0151695E+002, 4.9487180E-002, 4.7406360E+002
 2.4841804E+002, 1.1652109E+001, 5.1407826E+002, 1.9717930E+002, 4.9487180E-002, 4.7277823E+002
 2.4960406E+002, 1.1645601E+001, 5.2207628E+002, 1.9844339E+002, 4.9487180E-002, 4.7816054E+002
 2.5081089E+002, 1.1639041E+001, 5.2119426E+002, 2.0252364E+002, 4.9487180E-002, 4.8096516E+002
 2.5201146E+002, 1.1632274E+001, 5.1810851E+002, 2.0688082E+002, 4.9487179E-002, 4.8101372E+002
 2.5320855E+002, 1.1625431E+001, 5.1396469E+002, 2.0895566E+002, 4.9487179E-002, 4.7851832E+002
 2.5440863E+002, 1.1618530E+001, 5.1924367E+002, 2.1082251E+002, 4.9487179E-002, 4.7943188E+002
 2.5560938E+002, 1.1611586E+001, 5.2053781E+002, 2.0886521E+002, 4.9487179E-002, 4.8275256E+002
 2.5680933E+002, 1.1604740E+001, 5.0999436E+002, 2.0709923E+002, 4.9487179E-002, 4.8033292E+002
 2.5801251E+002, 1.1597889E+001, 5.0889308E+002, 2.0883405E+002, 4.9487179E-002, 4.7713133E+002
 2.5920868E+002, 1.1590958E+001, 5.0825625E+002, 2.1342882E+002, 4.9487179E-002, 4.7611228E+002
 2.6041548E+002, 1.1583937E+001, 5.1848335E+002, 2.1131761E+002, 4.9487179E-002, 4.8055589E+002
 2.6161114E+002, 1.1576896E+001, 5.0854409E+002, 2.1382832E+002, 4.9487179E-002, 4.7931013E+002
 2.6281169E+002, 1.1569907E+001, 5.1055853E+002, 2.1388679E+002, 4.9487179E-002, 4.7751603E+002
 2.6400197E+002, 1.1562815E+001, 5.1689015E+002, 2.1859554E+002, 4.9487179E-002, 4.8086329E+002
 2.6522234E+002, 1.1555590E+001, 5.2065073E+002, 2.1772799E+002, 4.9487179E-002, 4.8479803E+002
 2.6641645E+002, 1.1548357E+001, 5.0970793E+002, 2.1706036E+002, 4.9487179E-002, 4.8064114E+002
 2.6760396E+002, 1.1541240E+001, 5.1531661E+002, 2.2068678E+002, 4.9487179E-002, 4.8168142E+002
 2.6881221E+002, 1.1533925E+001, 5.1222647E+002, 2.2111411E+002, 4.9487179E-002, 4.8157775E+002
 2.7001557E+002, 1.1526604E+001, 5.1654262E+002, 2.2186132E+002, 4.9487179E-002, 4.8252206E+002
 2.7122042E+002, 1.1519297E+001, 5.1598152E+002, 2.1820637E+002, 4.9487179E-002, 4.8370326E+002
 2.7242499E+002, 1.1512107E+001, 5.1194539E+002, 2.1216333E+002, 4.9487179E-002, 4.8430061E+002
 2.7360962E+002, 1.1505085E+001, 5.1410749E+002, 2.1516171E+002, 4.9487179E-002, 4.8267720E+002
 2.7481550E+002, 1.1498036E+001, 5.1347967E+002, 2.1697158E+002, 4.9487179E-002, 4.8260598E+002
