General information,,time (s),O2 (%),DPT (Pa),CO (%),CO2 (%),PDM (-),PDC (-),Mass (g),Methane MFM (slpm),APT (kPa),HFM (kW/m2),Cold Trap TC (K),Stack TC (K),Smoke TC (K),Cone Heater TC (K),Spare TC (K),Soot MFM (g/s)
,,352,20.54922535,93.434594,0.00106638,0.52312418,0.976981,0.997761,81.422087,-0.036,0,0,243.101,355.226,368.159,1012.557,359.812,0
,,353,20.54981582,94.481704,0.0010037,0.52311412,0.974605,1.00065,81.299935,-0.0359,0,0,319.573,355.483,368.398,1012.749,301.699,0
,,354,20.54992464,95.15403,0.00099206,0.52311412,0.97777,0.99586,81.238592,-0.0363,0,0,209.461,355.678,368.649,1012.598,285.417,0
,,355,20.54971102,93.680815,0.00099306,0.52311412,0.978671,1.000691,81.112819,-0.0361,0,0,262.071,355.85,368.831,1012.4,369.447,0
,,356,20.54901575,93.725681,0.00099414,0.5231536,0.968369,1.016097,81.005994,-0.036,0,0,388.377,355.959,368.968,1012.452,272.885,0
,,357,20.54906614,94.073592,0.00099414,0.52308469,0.971672,1.01257,80.918662,-0.0361,0,0,178.559,356.019,369.045,1012.504,-7.89029932022095E+37,0
,,358,20.54933417,95.377856,0.00099414,0.52310406,0.96276,1.002453,80.822807,-0.0364,0,0,234.367,356.063,369.09,1012.508,-2.00970067977905E+37,0
,,359,20.5496022,93.206576,0.00099838,0.52311412,0.970786,1.006384,80.715925,-0.0363,0,0,323.26,356.054,369.081,1012.588,431.15,0
,,360,20.54987023,93.222077,0.00099522,0.52311412,0.972085,0.998345,80.623866,-0.0362,0,0,-7.89029932022095E+37,356.107,369.118,1012.666,-7.89029932022095E+37,0
,,361,20.54971102,95.354455,0.00099838,0.5231536,0.973571,0.98532,80.522858,-0.0363,0,0,-2.00970067977905E+37,356.118,369.043,1012.749,-2.00970067977905E+37,0
,,362,20.55051109,95.49358,0.00099946,0.52312418,0.968073,0.994722,80.386472,-0.0357,0,0,325.618,356.002,368.919,1012.844,432.797,0
,,363,20.55115597,95.379091,0.00099946,0.5231536,0.968543,1.006879,80.249707,-0.0362,0,0,257.795,355.881,368.753,1012.807,331.676,0
,,364,20.55147841,96.067641,0.00099098,0.52067663,0.975562,1.007426,80.148295,-0.0362,0,0,108.524,355.831,368.699,1012.819,385.462,0
,,365,20.55196006,95.758983,0.00099306,0.52000369,0.964243,1.004959,79.991841,-0.0361,0,0,259.522,355.77,368.612,1012.746,370.462,0
,,366,20.55206888,96.454883,0.0009899,0.51999363,0.973394,1.013017,79.890512,-0.0358,0,0,323.924,355.676,368.47,1012.743,380.399,0
,,367,20.55142802,95.84682,0.00099306,0.51999363,0.969983,1.005621,79.744266,-0.036,0,0,-7.89029932022095E+37,355.671,368.502,1012.682,290.258,0
,,368,20.55211927,95.118954,0.00099414,0.51999363,0.978229,0.992847,79.600235,-0.0363,0,0,-2.00970067977905E+37,355.642,368.501,1012.647,429.875,0
,,369,20.55297777,94.743125,0.00099414,0.52007259,0.980259,0.999036,79.462233,-0.0363,0,0,300.171,355.731,368.654,1012.656,388.288,0
,,370,20.55356824,94.02259,0.00099838,0.52001374,0.971962,1.001031,79.312697,-0.0359,0,0,-7.89029932022095E+37,355.8,368.625,1012.656,371.15,0
,,371,20.55389068,93.352549,0.00099522,0.52003311,0.966495,0.991137,79.155103,-0.0362,0,0,-2.00970067977905E+37,355.809,368.682,1012.609,481.364,0
,,372,20.55373147,94.425278,0.00099414,0.52000369,0.979747,0.998211,79.046514,-0.0363,0,0,296.953,355.771,368.683,1012.602,411.855,0
,,373,20.55346344,94.750664,0.00099414,0.51999363,0.975361,1.010482,78.942047,-0.0364,0,0,249.689,355.823,368.695,1012.467,252.948,0
,,374,20.55298179,96.014338,0.00099414,0.52003311,0.972618,1.010969,78.858209,-0.0362,0,0,-7.89029932022095E+37,355.72,368.542,1012.543,259.467,0
,,375,20.55308659,95.502673,0.00099838,0.52000369,0.974284,1.002388,78.732662,-0.0362,0,0,-2.00970067977905E+37,355.555,368.347,1012.603,309.163,0
,,376,20.55484996,95.688968,0.00099946,0.52003311,0.981314,1.007897,78.58084,-0.0362,0,0,303.785,355.439,368.241,1012.619,336.459,0
,,377,20.55571052,95.355397,0.00099522,0.52000369,0.977728,1.005789,78.501291,-0.0358,0,0,-7.89029932022095E+37,355.387,368.099,1012.678,268.73,0
,,378,20.55560718,95.918922,0.00099414,0.51999363,0.976673,0.990395,78.406785,-0.0362,0,0,-2.00970067977905E+37,355.277,367.967,1012.7,288.076,0
,,379,20.55555327,95.799179,0.00099414,0.51999363,0.970659,0.991523,78.280233,-0.0361,0,0,317.848,355.134,367.895,1012.643,379.252,0
,,380,20.55512603,96.297969,0.00099838,0.51995415,0.973703,1.000053,78.184311,-0.0362,0,0,316.605,355.11,367.755,1012.559,382.579,0
,,381,20.55523083,96.889927,0.00099098,0.51998357,0.970326,0.998386,78.080792,-0.0363,0,0,231.555,355.077,367.642,1012.52,347.721,0
,,382,20.55571052,95.252482,0.0009973,0.52003311,0.974283,1.001773,77.934107,-0.0362,0,0,347.324,354.968,367.568,1012.527,341.436,0
,,383,20.55560718,94.612836,0.00099522,0.51755614,0.984396,1.016982,77.743246,-0.0362,0,0,291.825,354.944,367.451,1012.445,356.9,0
,,384,20.55555327,95.409509,0.00099414,0.51688319,0.981193,1.013267,77.501139,-0.0363,0,0,217.719,354.912,367.336,1012.448,190.171,0
,,385,20.55533965,96.244033,0.00099414,0.51691262,0.980185,1.000816,77.282943,-0.0361,0,0,247.043,354.909,367.366,1012.511,295.463,0
,,386,20.55507162,96.205315,0.0009899,0.51688319,0.977392,1.00417,77.105596,-0.036,0,0,339.529,354.842,367.212,1012.511,326.961,0
,,387,20.55544445,94.821754,0.0009973,0.51683366,0.974122,0.999156,77.004512,-0.036,0,0,208.009,354.789,367.103,1012.476,299.306,0
,,388,20.55576493,96.069706,0.00099522,0.51686308,0.968314,0.98917,76.961456,-0.036,0,0,214.621,354.797,367.1,1012.342,335.041,0
,,389,20.55603246,96.724035,0.0009899,0.51683366,0.968112,0.993604,76.894478,-0.036,0,0,303.893,354.912,367.396,1012.31,371.628,0
,,390,20.55544797,95.892949,0.0009973,0.5168236,0.978887,1.0046,76.830654,-0.0359,0,0,276.363,355.242,367.753,1012.3,371.816,0
,,391,20.554858,95.619729,0.00098674,0.51686308,0.975117,1.005968,76.726889,-0.0362,0,0,-7.89029932022095E+37,355.511,368.076,1012.036,304.651,0
,,392,20.55474918,96.348775,0.00099198,0.51687314,0.981268,1.004955,76.638238,-0.0363,0,0,-2.00970067977905E+37,355.591,368.025,1012.258,329.023,0
,,393,20.55539004,96.145655,0.00100262,0.51442523,0.97539,1.014342,76.515994,-0.0363,0,0,287.927,355.546,367.91,1012.364,365.69,0
,,394,20.55576493,94.276975,0.0009963,0.51376225,0.976206,1.00821,76.463497,-0.0363,0,0,-7.89029932022095E+37,355.481,367.844,1012.379,337.035,0
,,395,20.55603246,94.693711,0.00099414,0.51371271,0.977492,0.996448,76.328985,-0.0363,0,0,-2.00970067977905E+37,355.509,367.906,1012.397,337.97,0
,,396,20.55587325,95.552884,0.00099414,0.51378162,0.978205,0.999806,76.210447,-0.0361,0,0,236.379,355.495,367.831,1012.478,347.685,0
,,397,20.55710056,94.689205,0.00099414,0.51376225,0.979131,1.001283,76.123646,-0.0362,0,0,-7.89029932022095E+37,355.449,367.754,1012.508,336.235,0
,,398,20.5572134,96.793439,0.00099414,0.51379167,0.969668,0.99347,76.028947,-0.0359,0,0,-2.00970067977905E+37,355.385,367.666,1012.551,358.137,0
,,399,20.55737261,98.071684,0.00098566,0.51376225,0.975022,0.998032,75.85133,-0.036,0,0,245.367,355.292,367.603,1012.555,367.581,0
,,400,20.55785426,97.410144,0.00099198,0.51375219,0.97732,1.00802,75.751735,-0.0362,0,0,230.591,355.333,367.636,1012.561,344.609,0
,,401,20.55796308,95.814489,0.00099414,0.51375219,0.965842,1.005602,75.671234,-0.0361,0,0,210.406,355.427,367.749,1012.463,194.363,0
,,402,20.55774946,94.62577,0.00099838,0.51379167,0.969009,1.002429,75.580529,-0.0362,0,0,283.418,355.572,368.012,1012.42,335.33,0
,,403,20.55705419,94.417203,0.00099098,0.51380173,0.963697,1.012251,75.456986,-0.0355,0,0,337.216,355.693,368.101,1012.489,370.328,0
,,404,20.55689096,93.733367,0.00098882,0.51380173,0.966518,1.007573,75.361301,-0.0362,0,0,-7.89029932022095E+37,355.656,368.067,1012.485,328.217,0
,,405,20.5573182,94.329707,0.00099306,0.51376225,0.969577,0.997644,75.198814,-0.0363,0,0,-2.00970067977905E+37,355.631,368.038,1012.54,342.134,0
,,406,20.55785426,94.090335,0.00099414,0.51375219,0.975412,1.003908,75.053567,-0.0363,0,0,392.87,355.617,368.016,1012.627,321.486,0
,,407,20.55753584,94.567848,0.00099414,0.51367323,0.980753,0.99796,74.927235,-0.0362,0,0,207.501,355.704,368.144,1012.628,272.268,0
,,408,20.55849512,95.191207,0.00099414,0.51373208,0.972483,0.988345,74.769979,-0.0363,0,0,376.9,355.777,368.194,1012.661,357.634,0
,,409,20.55876717,95.888273,0.00099414,0.51375219,0.973932,0.998013,74.665019,-0.0358,0,0,352.504,355.792,368.2,1012.671,326.689,0
,,410,20.55898079,95.129024,0.00099414,0.51379167,0.986081,1.007521,74.565946,-0.0359,0,0,301.933,355.751,368.111,1012.618,252.629,0
,,411,20.55946244,95.479862,0.0009899,0.51376225,0.983481,1.006921,74.482712,-0.0364,0,0,403.386,355.846,368.238,1012.699,340.102,0
,,412,20.5599985,94.392317,0.00099306,0.51383116,0.979015,1.009621,74.313625,-0.0361,0,0,353.817,355.888,368.281,1012.702,310.787,0
,,413,20.5598937,93.812517,0.00099414,0.5137723,0.979936,1.017262,74.197826,-0.0361,0,0,272.346,355.819,368.211,1012.787,291.011,0
,,414,20.55983929,95.074085,0.0009899,0.51375219,0.977789,1.003366,74.070842,-0.0363,0,0,387.328,355.767,368.143,1012.773,276.218,0
,,415,20.56069377,94.2734,0.0009973,0.51371271,0.965693,0.994091,73.935143,-0.0362,0,0,345.744,355.85,368.249,1012.847,263.969,0
,,416,20.56091141,95.694796,0.00099522,0.51374214,0.972986,0.999549,73.833497,-0.036,0,0,320.347,355.878,368.222,1012.862,237.939,0
,,417,20.56133865,96.605581,0.00099414,0.51371271,0.979091,0.991957,73.762067,-0.0362,0,0,381.485,355.944,368.284,1012.827,343.99,0
,,418,20.56166109,96.128423,0.00099414,0.51374214,0.971577,0.991095,73.615199,-0.0362,0,0,321.358,355.92,368.271,1012.751,229.048,0
,,419,20.5617155,97.925246,0.00099414,0.51371271,0.968133,1.003578,73.470121,-0.0361,0,0,227.532,355.927,368.335,1012.748,272.349,0
,,420,20.56192912,96.639754,0.00099414,0.51366317,0.959347,1.008929,73.343983,-0.0361,0,0,376.14,355.929,368.334,1012.695,331.364,0
,,421,20.56262439,96.756858,0.00099414,0.5136926,0.971047,1.006229,73.212552,-0.0356,0,0,176.614,355.943,368.427,1012.629,189.126,0
,,422,20.56321486,95.926512,0.00099414,0.51374214,0.972279,1.012201,73.104515,-0.0358,0,0,242.365,356.028,368.532,1012.607,265.586,0
,,423,20.56375092,95.588363,0.00099838,0.51375219,0.968165,1.012675,72.975569,-0.0361,0,0,335.357,356.066,368.556,1012.678,351.485,0
,,424,20.56407336,95.55936,0.00099098,0.51375219,0.969398,0.999244,72.825926,-0.0362,0,0,212.213,356.037,368.494,1012.687,355.704,0
,,425,20.56391415,94.178923,0.0009973,0.51379167,0.970059,0.995905,72.670043,-0.0361,0,0,297.843,356.053,368.533,1012.68,343.481,0
,,426,20.56364612,94.168316,0.00099522,0.51376225,0.979893,1.000443,72.577921,-0.0362,0,0,210.944,356.099,368.597,1012.754,350.448,0
,,427,20.56444619,94.278413,0.00099838,0.51379167,0.98052,0.991517,72.442785,-0.0361,0,0,143.241,356.171,368.654,1012.813,360.899,0
,,428,20.56551831,93.490894,0.00099946,0.51368328,0.977249,0.99651,72.312628,-0.0361,0,0,257.705,356.277,368.782,1012.863,339.216,0
,,429,20.56594957,93.665785,0.00099946,0.5136926,0.975163,1.00499,72.181651,-0.0361,0,0,264.481,356.341,368.841,1012.948,303.914,0
,,430,20.56600398,95.062731,0.00099098,0.51370265,0.972872,1.000105,72.096247,-0.0359,0,0,369.906,356.329,368.781,1012.905,279.178,0
,,431,20.56600398,95.175031,0.00099306,0.51378162,0.976877,1.005999,71.974378,-0.0361,0,0,313.178,356.269,368.703,1012.899,270.235,0
,,432,20.56557674,94.661221,0.00099414,0.51376225,0.970729,1.013723,71.857081,-0.036,0,0,465.491,356.228,368.648,1012.866,364.661,0
,,433,20.5652543,94.658895,0.00099414,0.51623959,0.977728,1.010158,71.671409,-0.0362,0,0,432.772,356.209,368.555,1012.826,242.503,0
,,434,20.56562713,95.887652,0.00099838,0.51687314,0.981973,1.002067,71.507453,-0.0363,0,0,265.197,356.162,368.484,1012.812,124.862,0
,,435,20.56573595,96.131402,0.00099946,0.51687314,0.980917,1.006636,71.355569,-0.0361,0,0,335.074,356.114,368.469,1012.891,253.573,0
,,436,20.56616319,94.917741,0.00099522,0.51687314,0.971662,1.000678,71.168495,-0.0362,0,0,438.802,356.162,368.568,1012.96,257.107,0
,,437,20.56669925,94.047482,0.00099838,0.51687314,0.978949,0.991192,71.019427,-0.0363,0,0,289.82,356.202,368.642,1013.005,282.175,0
,,438,20.56723531,95.670376,0.00099098,0.51687314,0.970345,0.997331,70.86589,-0.0363,0,0,325.982,356.244,368.683,1013.064,278.26,0
,,439,20.56713051,95.909588,0.00098882,0.51691262,0.977575,1.005435,70.752963,-0.0361,0,0,446.414,356.302,368.731,1013.06,365.17,0
,,440,20.56750334,95.402681,0.00099306,0.51688319,0.971631,1.002186,70.651899,-0.0362,0,0,268.885,356.403,368.833,1013.006,346.948,0
,,441,20.56782578,96.215643,0.00125686,0.51683366,0.977399,1.000966,70.494729,-0.0364,0,0,269.402,356.484,368.856,1012.989,382.686,0
,,442,20.56809381,95.523026,0.00133226,0.5193896,0.977241,1.01584,70.394094,-0.0363,0,0,295.9,356.473,368.873,1013.049,156.119,0
,,443,20.5679346,95.124328,0.00106322,0.52000369,0.978793,1.019629,70.33847,-0.0362,0,0,-7.89029932022095E+37,356.555,369.003,1013.163,238.913,0
,,444,20.56723933,95.651281,0.00099838,0.51999363,0.964292,1.006519,70.249035,-0.0362,0,0,-2.00970067977905E+37,356.652,369.112,1013.209,396.463,0
,,445,20.56728972,94.049772,0.00099522,0.51999363,0.96913,1.00318,70.149697,-0.0363,0,0,222.28,356.707,369.149,1013.181,280.162,0
,,446,20.56777137,93.864909,0.00099414,0.51995415,0.971929,0.992847,70.017102,-0.0359,0,0,-7.89029932022095E+37,356.724,369.151,1013.174,246.721,0
,,447,20.56638485,93.796862,0.00099838,0.51998357,0.963199,0.990215,69.856353,-0.0362,0,0,-2.00970067977905E+37,356.74,369.24,1013.223,347.978,0
,,448,20.56579036,95.107541,0.00099946,0.52252014,0.962808,0.993238,69.76145,-0.0362,0,0,236.49,356.754,369.227,1013.245,354.377,0
,,449,20.56573595,95.364594,0.00099522,0.52312418,0.966316,1.002579,69.618771,-0.0363,0,0,160.921,356.703,369.141,1013.202,337.28,0
,,450,20.56381338,95.58522,0.00099414,0.5231536,0.97173,1.003502,69.479894,-0.0357,0,0,323.939,356.656,369.046,1013.169,350.083,0
,,451,20.56140111,94.4099,0.00099414,0.52308469,0.968199,1.00318,69.395167,-0.0361,0,0,162.604,356.65,369.127,1013.201,166.13,0
,,452,20.55984331,95.303375,0.00099838,0.52314355,0.966123,1.013012,69.227361,-0.0364,0,0,176.234,356.725,369.214,1013.248,299.223,0
,,453,20.55871678,93.59029,0.00099522,0.52312418,0.968718,1.013248,69.100134,-0.0361,0,0,351.224,356.78,369.29,1013.252,389.411,0
,,454,20.55785828,93.899919,0.00099414,0.525641,0.974006,1.00309,68.944642,-0.0363,0,0,338.625,356.887,369.516,1013.261,301.807,0
,,455,20.55748143,93.190076,0.00099838,0.52628461,0.974152,1.007205,68.783222,-0.0363,0,0,-7.89029932022095E+37,357.022,369.591,1013.254,179.73,0
,,456,20.5555064,93.195789,0.00099946,0.52624512,0.975906,1.005093,68.673486,-0.0361,0,0,-2.00970067977905E+37,357.192,369.807,1013.312,299.78,0
,,457,20.55501721,92.45281,0.00099946,0.52627455,0.957544,0.991275,68.546386,-0.0362,0,0,331.503,357.326,370.039,1013.348,301.829,0
,,458,20.55458997,94.655516,0.00099522,0.52628461,0.961878,0.995309,68.441773,-0.0362,0,0,284.952,357.393,370.186,1013.422,205.759,0
,,459,20.55405391,95.920042,0.00099838,0.52624512,0.961719,1.003473,68.32793,-0.036,0,0,403.191,357.433,370.25,1013.417,389.551,0
,,460,20.55394509,95.363546,0.00099098,0.52880106,0.970014,1.002557,68.172754,-0.036,0,0,363.918,357.438,370.291,1013.411,265.619,0
,,461,20.55244975,94.166002,0.0009973,0.52941515,0.974443,1.004688,68.022771,-0.036,0,0,231.94,357.527,370.366,1013.438,151.854,0
,,462,20.55078716,93.008291,0.00099098,0.5294051,0.975608,1.009428,67.872387,-0.0362,0,0,290.478,357.506,370.433,1013.363,124.118,0
,,463,20.55110156,92.631189,0.00099306,0.5294051,0.978204,1.010456,67.720968,-0.0362,0,0,381.346,357.56,370.477,1013.397,306.734,0
,,464,20.55083755,92.913149,0.00099838,0.5294051,0.962935,1.00138,67.548524,-0.0359,0,0,394.63,357.618,370.539,1013.507,270.587,0
,,465,20.55008787,95.04157,0.00099522,0.52944458,0.96566,1.005371,67.366153,-0.0361,0,0,-7.89029932022095E+37,357.708,370.625,1013.564,-7.89029932022095E+37,0
,,466,20.54971102,94.979271,0.00099414,0.53142876,0.968854,0.989836,67.2297,-0.0359,0,0,-2.00970067977905E+37,357.79,370.714,1013.649,-2.00970067977905E+37,0
,,467,20.54773403,92.545663,0.00099414,0.53240537,0.960181,0.98547,67.103868,-0.0361,0,0,392.452,357.877,370.82,1013.747,359.105,0
,,468,20.5468171,92.367103,0.0012611,0.53248656,0.965645,0.99177,66.92466,-0.0362,0,0,227.368,357.966,370.875,1013.838,242.298,0
,,469,20.54713552,92.8029,0.00133334,0.53247651,0.961442,1.003711,66.831142,-0.0363,0,0,384.479,358.013,370.945,1013.817,444.482,0
,,470,20.54660348,92.332886,0.00133018,0.53239754,0.964865,1.007352,66.766546,-0.0361,0,0,465.748,358.038,370.977,1013.792,358.766,0
,,471,20.54579939,92.986404,0.00132486,0.53498291,0.957328,1.006096,66.655342,-0.0361,0,0,373.479,358.067,371.085,1013.751,201.338,0
,,472,20.54563616,93.652708,0.00132802,0.53568602,0.964509,1.015543,66.530661,-0.0363,0,0,340.176,358.138,371.158,1013.75,247.72,0
,,473,20.54435444,93.000394,0.0013291,0.53565659,0.964115,1.010484,66.407456,-0.0361,0,0,495.259,358.171,371.144,1013.774,300.027,0
,,474,20.54295988,93.262514,0.00132486,0.53560705,0.965772,0.995449,66.236719,-0.0362,0,0,390.678,358.188,371.176,1013.759,245.17,0
,,475,20.54290145,94.871427,0.00133226,0.53563648,0.962705,0.992866,66.052843,-0.0363,0,0,256.697,358.16,371.154,1013.807,147.071,0
,,476,20.54210138,95.572858,0.00133018,0.53809408,0.949787,0.996588,65.927698,-0.0363,0,0,518.695,358.135,371.054,1013.77,331.575,0
,,477,20.5393203,94.918589,0.00133334,0.53871749,0.958031,0.992699,65.777351,-0.036,0,0,377.632,358.116,371.075,1013.826,282.453,0
,,478,20.53631756,96.634923,0.00132594,0.53875697,0.965313,0.99778,65.633212,-0.0361,0,0,204.821,358.106,371.1,1013.898,177.35,0
,,479,20.53379647,95.686388,0.0013365,0.54074115,0.963948,1.010225,65.512465,-0.0362,0,0,483.25,358.176,371.278,1013.968,414.198,0
,,480,20.5324523,94.19649,0.00132702,0.54179672,0.970159,1.01349,65.378783,-0.0363,0,0,359.875,358.183,371.309,1013.995,221.3,0
,,481,20.53095294,93.421423,0.00133226,0.54185855,0.967497,1.004543,65.241015,-0.0362,0,0,211.151,358.234,371.387,1014.035,225.64,0
,,482,20.53126734,94.562541,0.00133442,0.54187792,0.954487,0.999963,65.129877,-0.0362,0,0,311.098,358.315,371.436,1014.064,211.764,0
,,483,20.52993523,93.860353,0.00133018,0.54437501,0.94992,1.003166,64.965608,-0.0361,0,0,304.797,358.291,371.357,1014.094,191.496,0
,,484,20.52934074,94.416897,0.00133757,0.54504795,0.954477,0.994802,64.846424,-0.0363,0,0,228.236,358.226,371.361,1014.086,262.852,0
,,485,20.52885909,95.940118,0.00133126,0.54501852,0.951238,0.992678,64.679528,-0.0362,0,0,263.805,358.253,371.345,1014.045,300.758,0
,,486,20.52853665,94.607445,0.0013291,0.54504795,0.959233,0.999549,64.541821,-0.0356,0,0,482.823,358.277,371.384,1014.07,440.422,0
,,487,20.52890948,93.183566,0.0013291,0.5475454,0.954291,1.006829,64.417925,-0.0361,0,0,269.253,358.363,371.422,1014.102,222.437,0
,,488,20.52944554,93.186933,0.0013291,0.54817895,0.955045,1.003704,64.300098,-0.0361,0,0,192.256,358.426,371.583,1014.09,305.132,0
,,489,20.52934074,94.561431,0.0013291,0.54813947,0.963594,1.006581,64.212468,-0.0359,0,0,490.889,358.481,371.653,1014.091,516.105,0
,,490,20.52864547,94.22528,0.00133334,0.54812941,0.967947,1.012147,64.067259,-0.0362,0,0,200.236,358.496,371.699,1014.103,219.427,0
,,491,20.52698886,93.887195,0.00132594,0.54812941,0.964424,1.000445,63.886775,-0.0362,0,0,245.547,358.534,371.738,1014.097,333.154,0
,,492,20.52660849,95.15952,0.00133226,0.55061644,0.963611,0.989862,63.693293,-0.0363,0,0,322.546,358.581,371.823,1014.089,364.61,0
,,493,20.52703573,95.742351,0.00133442,0.5512499,0.962771,0.997326,63.559882,-0.036,0,0,379.361,358.631,371.824,1014.06,269.372,0
,,494,20.52735621,94.646712,0.00133442,0.55128939,0.960955,0.99214,63.421733,-0.0363,0,0,229.652,358.733,371.986,1014.057,243.053,0
,,495,20.5265576,93.986933,0.00133442,0.55125996,0.958467,0.988702,63.272857,-0.036,0,0,265.737,358.75,372.015,1014.091,320.325,0
,,496,20.52527236,93.960327,0.00132594,0.55377642,0.96677,1.002684,63.088306,-0.0361,0,0,367.067,358.707,371.909,1014.065,436.116,0
,,497,20.52435945,94.985943,0.00132378,0.55438045,0.953271,1.013654,62.946675,-0.0362,0,0,231.26,358.704,371.971,1014.027,341.312,0
,,498,20.52462346,95.469136,0.00132802,0.55437039,0.968182,1.006945,62.855225,-0.0363,0,0,249.6,358.783,372.114,1013.969,319.251,0
,,499,20.52451866,93.479762,0.0015961,0.55437039,0.956258,1.000981,62.69184,-0.036,0,0,270.569,358.838,372.115,1013.919,315.609,0
,,500,20.52360977,95.022553,0.00165987,0.55440988,0.943587,1.001278,62.558013,-0.0362,0,0,303.1,358.876,372.17,1013.913,327.847,0
,,501,20.52296489,94.761024,0.00166726,0.55686785,0.956625,0.99454,62.437451,-0.0363,0,0,213.01,358.847,372.201,1013.914,356.056,0
,,502,20.52285607,93.173053,0.00166942,0.55745186,0.952985,0.98493,62.268082,-0.0362,0,0,289.692,358.918,372.245,1013.943,337.627,0
,,503,20.52114711,93.985656,0.00166518,0.55752077,0.961019,0.993778,62.140661,-0.0362,0,0,270.78,358.931,372.316,1013.936,393.447,0
,,504,20.52071183,94.225987,0.00166834,0.5575014,0.959834,1.009395,61.957615,-0.0362,0,0,201.571,358.946,372.308,1013.945,291.946,0
,,505,20.52092545,94.481082,0.00166942,0.55930717,0.946194,1.007376,61.840984,-0.0356,0,0,231.98,358.901,372.281,1013.938,387.477,0
,,506,20.52119348,94.760542,0.00166518,0.56051984,0.95537,0.999725,61.753544,-0.0359,0,0,238.332,358.935,372.322,1013.835,374.274,0
,,507,20.51996617,94.763765,0.00166834,0.56067143,0.95846,1.005683,61.630143,-0.0363,0,0,-7.89029932022095E+37,358.947,372.254,1013.788,308.652,0
,,508,20.51878523,93.245011,0.00167366,0.56066137,0.954558,1.000802,61.468739,-0.0362,0,0,-2.00970067977905E+37,358.941,372.274,1013.716,432.566,0
,,509,20.51835397,93.731825,0.00166626,0.56062189,0.95499,0.989743,61.289602,-0.0361,0,0,258.195,359,372.345,1013.703,366.599,0
,,510,20.51851318,94.815644,0.00166411,0.56309923,0.952107,0.994929,61.138874,-0.0363,0,0,182.81,359.099,372.459,1013.675,288.36,0
,,511,20.51749949,94.83335,0.00166834,0.5636933,0.954407,0.99988,61.028513,-0.0362,0,0,188.105,359.187,372.53,1013.574,292.079,0
,,512,20.51701382,94.210949,0.00166942,0.56372272,0.95866,0.99939,60.836827,-0.0358,0,0,378.321,359.19,372.523,1013.621,335.168,0
,,513,20.51674579,93.021757,0.00166518,0.56365381,0.956723,1.000329,60.713284,-0.0362,0,0,243.484,359.227,372.655,1013.624,218.255,0
,,514,20.51519604,92.556082,0.00166834,0.56367318,0.947906,1.008213,60.6408,-0.0362,0,0,359.187,359.33,372.826,1013.643,187.327,0
,,515,20.51417431,93.233414,0.00166942,0.56620975,0.942528,1.007114,60.542958,-0.036,0,0,415.626,359.399,372.811,1013.658,213.766,0
,,516,20.51443832,93.35469,0.00166518,0.56685327,0.94462,1.000293,60.334914,-0.0363,0,0,302.481,359.399,372.843,1013.547,157.506,0
,,517,20.51347904,93.085293,0.00166411,0.56685327,0.944397,1.001273,60.190501,-0.0363,0,0,363.043,359.496,372.984,1013.522,173.352,0
,,518,20.51320699,93.171913,0.00166411,0.56685327,0.95097,1.000907,60.054736,-0.0361,0,0,386.746,359.472,372.975,1013.492,291.741,0
,,519,20.51299337,93.490214,0.00166834,0.56681379,0.964027,0.991829,59.89388,-0.0362,0,0,265.831,359.528,373.048,1013.411,167.114,0
,,520,20.51101638,95.724201,0.00166095,0.56925128,0.960042,0.988826,59.78835,-0.0362,0,0,456.429,359.608,373.177,1013.419,390.333,0
,,521,20.51009945,94.486587,0.00166726,0.56991417,0.958932,0.997454,59.631564,-0.0363,0,0,488.196,359.609,373.158,1013.479,364.112,0
,,522,20.51063149,93.818181,0.00166518,0.56996371,0.954951,1.002978,59.503944,-0.036,0,0,307.098,359.645,373.146,1013.473,-7.89029932022095E+37,0
,,523,20.50929938,94.454767,0.00166834,0.56997376,0.957637,1.003309,59.385801,-0.036,0,0,419.136,359.712,373.215,1013.45,-2.00970067977905E+37,0
,,524,20.50913213,92.923964,0.00166518,0.57001324,0.95492,1.010239,59.191653,-0.036,0,0,510.004,359.763,373.246,1013.51,489.666,0
,,525,20.50897292,92.980222,0.00166834,0.57247121,0.947235,1.007751,59.047318,-0.0361,0,0,-7.89029932022095E+37,359.806,373.376,1013.563,265.863,0
,,526,20.50720955,94.34337,0.00166518,0.57305523,0.95101,0.994057,58.925592,-0.0362,0,0,-2.00970067977905E+37,359.861,373.416,1013.615,303.266,0
,,527,20.50591979,94.566019,0.00166834,0.57304517,0.954944,0.991601,58.774978,-0.036,0,0,353.039,359.842,373.41,1013.593,312.481,0
,,528,20.50655663,94.30962,0.00140242,0.57308465,0.949385,0.996331,58.627191,-0.0359,0,0,345.607,359.922,373.488,1013.582,391.812,0
,,529,20.50698789,94.500624,0.00133442,0.57510795,0.952848,0.993453,58.459684,-0.0361,0,0,345.736,360.096,373.678,1013.627,367.282,0
,,530,20.50511972,93.583102,0.00133442,0.57613401,0.958893,0.993686,58.335842,-0.0361,0,0,307.044,360.123,373.704,1013.689,339.706,0
,,531,20.50484365,93.211625,0.00133442,0.57626474,0.954777,1.009638,58.228685,-0.0362,0,0,194.369,360.165,373.746,1013.773,222.988,0
,,532,20.50340272,93.509246,0.00133018,0.57622526,0.945652,1.011854,58.070923,-0.0362,0,0,196.769,360.165,373.777,1013.818,244.263,0
