 (s),(kW/m²), (MJ/kg),(m²/kg), (g/s),(g/s·m²)
Time,HRR ,EHC,SEA ,MLR,Specific MLR 
362,93.88057188,18.57966871,-7.787838654,0.044667333,5.052865762
363,93.7258169,8.580458482,-3.729356721,0.096560833,10.92317119
364,94.48671708,7.223845717,-2.765021388,0.11562575,13.07983597
365,95.27665082,13.2583859,-5.342403624,0.0635255,7.186142534
366,94.29176701,11.65725263,-4.112806215,0.071503917,8.088678356
367,93.81230926,7.760265885,-2.406887596,0.106865,12.0888009
368,93.0511054,7.553280616,-2.732179106,0.108902583,12.31929676
369,95.48907565,14.6270294,-4.249081394,0.057709833,6.528261689
370,93.7742025,24.73670084,-11.48791553,0.0335115,3.790893665
371,92.43914236,15.70969457,-5.530275474,0.052016417,5.88421003
372,93.77589173,13.67818405,-4.244754225,0.060605917,6.855872926
373,93.48684941,7.854923947,-3.782505377,0.105210917,11.90168741
374,94.5367292,9.260039626,-5.695705959,0.0902485,10.20910633
375,93.48753038,19.25059782,-8.18038586,0.042930083,4.856344268
376,92.16943494,10.05393759,-2.839456656,0.081040667,9.167496229
377,93.23763427,7.767648837,-2.542375549,0.106109417,12.00332768
378,94.14240547,6.996708805,-2.11362558,0.118944333,13.45524133
379,93.44361397,9.03458121,-2.042002987,0.091431083,10.34288273
380,93.02512519,27.0987145,-6.668568112,0.030346167,3.432824284
381,95.74663053,10.75873211,-3.694341868,0.078671,8.899434389
382,92.07917104,5.800617527,-1.992518704,0.140326417,15.87402903
383,91.90832028,12.29009572,-4.907911593,0.066107667,7.478242836
384,93.99570881,21.05528013,-10.12548805,0.039463833,4.46423454
385,96.35578137,7.894409795,-1.731281597,0.10789725,12.20557127
386,95.90867379,11.41789147,-3.816687224,0.07425475,8.399858597
387,98.60546345,10.59208734,-3.740679916,0.082294667,9.309351433
388,97.93838685,6.416628319,-3.025873831,0.134926833,15.26321644
389,97.52010253,9.758376011,-3.935775478,0.088342333,9.993476621
390,95.94280417,12.92219681,-4.265937934,0.065633917,7.424651207
391,96.8105855,9.964726354,-2.976116502,0.0858835,9.715328054
392,98.64300201,10.46919003,-4.069628204,0.083292417,9.42221908
393,98.24960718,9.558690631,-4.10911953,0.0908625,10.27856335
394,94.38399422,13.42148604,-5.652833965,0.062165583,7.032305807
395,96.08611149,40.66682642,-16.59416847,0.020886833,2.362763952
396,93.16251832,9.275992903,-4.206962173,0.088783667,10.04340121
397,94.7394765,7.683769807,-2.064465053,0.108995583,12.32981712
398,95.33015275,11.79525047,-3.196894313,0.071445583,8.082079563
399,93.97697011,9.545093482,-3.152721647,0.087034917,9.845578808
400,95.63339658,11.43589141,-4.228022353,0.073925083,8.362565988
401,95.09546664,12.72989271,-4.002779538,0.066037,7.470248869
402,94.442308,8.610258144,-3.079790296,0.09696225,10.96858032
403,94.38088486,15.81008219,-6.260098681,0.052771833,5.969664404
404,93.7625705,9.879380915,-4.291473495,0.083898083,9.490733409
405,90.9275913,6.749233025,-2.483593809,0.119095,13.47228507
406,91.62280085,19.17004443,-8.626188038,0.042250583,4.779477753
407,93.42875233,11.74140747,-3.484300987,0.070341667,7.957202112
408,92.54228216,7.942174671,-2.316705945,0.10300375,11.65200792
409,92.04143729,8.966013575,-4.207626812,0.090747833,10.26559201
410,95.67175654,13.6335193,-5.173758324,0.06203375,7.017392534
411,95.03747604,15.14923794,-6.42259631,0.055457,6.27341629
412,92.18969346,8.22454246,-3.871571563,0.099088417,11.20909691
413,92.94999579,7.170637409,-2.998342021,0.11458925,12.96258484
414,91.8938296,10.63082827,-4.38149965,0.07641375,8.644089367
415,93.92658363,19.44825888,-9.28885938,0.042693333,4.829562594
416,94.68052313,8.518086525,-3.847642066,0.098258667,11.11523379
417,93.74337944,11.31009324,-4.622360441,0.073270083,8.288470965
418,96.531461,12.86497553,-5.04396935,0.066330333,7.503431373
419,95.28629188,9.334296663,-4.440665765,0.090240417,10.20819193
420,93.93176367,12.66524666,-6.354786601,0.065561833,7.416496983
421,93.31702204,12.24171838,-5.417355765,0.067386167,7.622869532
422,94.59255946,8.749398323,-2.712303562,0.095572083,10.81132164
